source,target,path_length
ZgXm-lgB7iA,PWXcI9B2QJ8,31
4fo6uwpbYmA,8lpXI2jULaQ,1000
dA2hBWRyXWY,dKjZnlrB0G4,37
vgzossh0rg4,KUQPt9WJBTw,17
60eJaKGMRqo,ZXYQHinczkE,1000
vULB2jtmlyw,qF3MJVhMsLY,28
ZLXgcSoGtDI,RS4yEGjy0zc,32
JueHbeLokfs,v1SRy-bkKrA,39
yrbyPfUxh6c,cmdbTS1PGF8,5
Pfy_azuXZXU,BpYnGxE9kxw,11
0Tgym93-Wq4,bprNUGNzTPA,20
QAxLRzqOTcs,oUvYXHef9Tk,56
oJNE31Ndme0,97tcLyLYQMY,42
bMxcPwwZ9Dg,_RAy9zCtNoQ,49
r0JF5jpEPeE,dwJ5EBb6d4s,1000
M_S2yUBuHTg,CzFrbN9Ct9s,66
Ats8_ROfv1k,TblTBzYOeow,36
ip111lXjDSs,Xcg0HOoRBzo,1000
hh6l3xXhbeU,n68zVi0xba4,55
T0lQhgKBmbI,L_xSBtec47o,45
aeEYuoP_Qns,2UKX427Nlyg,35
Acubd4WUGoA,CQpP3NYGe_k,36
Rlb7bxB16G8,GPq5a-T0FY4,7
8u2TeRoG94c,1u4uV-Fy1H0,22
c7i2-yzljRo,NWWY-N7OIXU,9
PEd8sI9lFvs,uosEhRCF14U,1000
Fs-ZGhke84Y,cgN-YO_CVoQ,30
oDCSenbLgBo,klGrbNMkh0k,1000
BVvxtb0euBY,FgN4E9-U82s,2
eig04yc0iMc,MO9BZM5NHQs,34
LbYrrPmDB5U,1lULTv7q1_g,57
L1FC_WqfYD0,PrubbdFTR7U,24
427C8kd46zU,iJX9WqULzBI,23
koa2U9ufh_k,ge6etjQF-LE,1000
C1q9hNdUb-M,96FB3fKopuA,15
wXBovQaK0Rk,XDZrMTvo5CM,37
fQLojQV7nMs,x2_cV38_zQ0,11
gbLA9bvvjWY,cqBYkQXZUvA,24
_S4B-N8DSaw,8twFcKShndc,2
HTLMPWQALTA,OO2eEwoqzX4,6
VfDVH1UCcXI,ogaTWU8VVa8,48
Yo-NOU9N48Y,RVVJOQMq0mY,10
rKegRwVfigw,HmVCh7q-mLo,6
ccl9E3AyL3M,lKKy8cMrkFA,41
vIv_XOrArSA,r_2E1_40wQU,44
H0y-TkJUxfE,QN4C8mFhzd4,47
ECZMMo3HrPo,q_t6g0VLLY0,5
NeoPcEIypwA,0tetLcmCEcM,48
HYI9ABP6ils,dUAvmEWlCCI,14
8YkGhpSE_DE,_Kpz5ah4w9k,1000
YofewpI1CDE,AhR04kmcSXU,6
CDyuzgRfgSY,pmtVTA3qfQA,9
rMp1oNMUq6E,Nl2TXuqWfh8,40
QHMiLJf9PNs,jzTjimXFTP0,28
_nJOICpcpsU,eoWWkp2zrgo,8
7zbYYKzTFeQ,yqQ7tU26Q6E,12
OPmYbP0F4Zw,K2tLaegVef8,42
isfHhzRIUoM,3JNwOgokBJE,34
J_V7lpwi-RA,x8MbYVmcT6k,45
Tn78pLV_AA0,tCBGNqlUhNo,43
TzdqEbk20js,S59bh5Twr1I,33
ZO1m7j1XgXs,jNM49WkJeuc,1000
Kr_5qtVbydc,j52zMwxMx0s,5
au4b7FUBhso,DpqQC8UKKgQ,8
r5odg8Zy6XE,gZVb-bcpneo,35
YTH6GpvLv1I,bjupKJiRcGw,27
Vn8otwCm0V4,dphq7zwlADE,1000
yykOQyJiN84,i6g-KKO1WAI,38
_aLLHFSM7i8,V4kxD66MhAY,25
Hi3kCpF8xjY,Q-NHJ1q3K80,31
yzwGNEkm53E,h1ibezS2MRI,13
8XhpQ6RBvbc,Myx3JqvN8F0,6
8E8ow9AIXmE,U_DM3cMFVYk,47
nyWJGNzFOVM,cxpTPIGgZ5A,49
0Ah5lLw4QqY,nyoXXVIlo6o,29
WEVBvTW3STg,JkUxIvo-e58,1000
7pMHqEeLY74,f_5V-I7Iay8,20
VmzE5cv92PA,gq9IxJARZuY,45
UhxETbpDrFo,DkEfzZCjWC4,16
-xWc2cxHc9U,C2EnhVv7IXc,75
KMkboKUbYvs,rVa60is-ZHE,9
gmQ2ftCjI2k,o1euYE3U3EQ,14
64X0a_jBMNY,Gd7bzkNROlI,49
9K-NP8pTzXQ,8aoX4S2vJBo,54
ZXS-FtMhwjo,hDXuKhMZUNs,22
PxoqicLOEVI,fcwyWMBfq3E,3
8zVJXmORCao,z4TfkrQdNMg,1000
ho5Yxe6UVv4,k1BCXp94NR8,35
_Tw-3XiGOu4,O1tYRf3Zxck,61
6NbqZy-8FGg,POx4hpuTzXI,66
DieCnMS0G8k,zYbMqhmCIfw,14
0vgDkev9NVw,EI3hllMx1MQ,3
7A3o-5qiCew,AzDYzwsV6eY,1000
Vf1aKeaay6Y,Fjg4SSv3jeI,57
YaFHqEyYqKE,kveHkKqofDg,1000
Ag0VUxP36so,A6XdEkKWMzs,26
Q1_XOkujJi8,_CZxGKmIJSs,35
Y0OficaFbas,52GZnDXxPq8,39
81j9ePJCdT0,A-DYgWR_vhs,10
q7gxtKkWrMc,ZItkEFUxVhc,42
BkQDefNKHLc,m8wFQWGvHKo,4
iIuVdB-HP34,5mvdje_Cu7o,1000
cT1wHTrxZAc,iSyWPHXsijA,46
dKGDTK2pKEo,aERDUf7YMZ0,42
VqBsEdVf-kw,fNuHC6G2FA8,37
8nECnTljsYg,mk3LhcwClbE,8
PtVEdZtnIf4,kWnJyKOqvPg,1000
kS6daynb2dY,w2GWZYEhmTM,35
IcG5txNV86U,u3NAhsZYVgM,18
VnfsTdVUYSo,iZXANf2wO_o,6
SGAXQPVMSx4,EqqVCV997GQ,29
ME-SfRskncU,IwxXuCKScRw,37
Yo-NOU9N48Y,Hr8V1BxNgMA,16
IHKWHp5EkOw,9D3EQ20ivqw,16
yiWYooCDcEs,FQIiN6EOdc8,2
lKTDSj6jSiM,rY96vRZWwng,19
BwS62gJuyTo,DGHGoBj6vLU,1000
xh-ZxO6ELUY,xjAfcLgH5Sw,29
U5bkXqyAkqQ,RQ5lZaEx-7o,65
JQrFuj4GcW0,I0B6Du3w44Q,30
8A9DhWh_ll0,2lxKx7X36Ms,3
T2SnDB_orzQ,EZYR6nP3Mpc,38
xEy29oyAXFE,X2S1ZBPwK0I,1000
JKuYQwm1yNs,taeuLvM7a1g,4
vsryQOMcDy4,Vs4DGXO7Tl4,28
bVtTqSIqpWk,jfvhFYrhgQg,27
I-TUQAjbDZQ,lKKy8cMrkFA,54
JBER6PylVE4,lCF9df3BGYQ,5
tipPl1tYxPI,v1DM3C3blUY,1000
d2AGYi3otJ4,8ddp8TB2RzI,11
Zv4XegvFqt0,BJDQlF-SJB8,14
nN5mx6-U7HE,yhngfdBY_lU,1000
x8GA0L3S7PY,rVvr_kVYOVU,29
dUauPF2EyT4,kMX1YjVKpE0,4
rr8lT4j-7Mc,vSq_5jeZ0gA,38
QyjoBujkhg0,kHwL5eMLaQ0,5
EX9p1VBzXEo,YeOsbxVZR0Y,45
GpN-lbz48LA,Dc5Fa16m1_c,12
lqeXjKXLu6Y,XRIiuBc7wtc,22
S3JqIHzNho4,LMR-FrvMwUA,4
lAQuc6kLEQU,FdKQLxhiB2w,10
WNgQVmiwR8I,QGd76mJzcTo,18
xWj4iHx6EIY,diYIElGIDnI,33
Vl-luGDhlck,05p8aJXX3YA,2
DC_dNIU8_QA,4wGR4-SeuJ0,5
KUaUokuZTvo,lEPqa55WjL8,68
OF9atsPPdeQ,DF2I4mqnd6k,1000
W72e9xBUVFk,ZqaYmQZgrB4,4
H4KRetGMLiQ,v8kv6wyvT-E,37
zACnOdBP1q0,jTHqqIavwbo,34
mcUzWKmLVjM,ogaTWU8VVa8,46
Zkg9jI6V2Bs,rRrHolHklpw,1000
XDM0zu4bW7o,NC3-55KBFds,15
DolERIvMbzM,mhXYqk8RS0A,32
jQOGN4SlVMo,JW9CgqTyMhY,6
QcYfq6YDKQg,L_kafGIrKV8,1000
JZzNRJ4O4wc,6pvqHK4jWhU,1000
3xNAwAUdIJc,bz3V9iUTHwE,1000
GLpXJurv_hY,Dw9Chk3wgCE,58
1dCtzl6bGa8,WNU_9miLysE,1000
hzIXNDhvQuw,0wSqcNVkRHE,9
nz14TWcpRQ4,4Iq7T2OZeZ0,83
slqVXmh4heA,Ns2DvcfLr6w,5
2ylJ8sJO9eQ,Z-KgT2dLAcY,23
EPS7JP-LTkY,epkl2stpqx4,6
M01Nlke-frY,w2H_MJxRRIo,62
xP5q1P1Rbb4,nHp7n3oodJo,7
Fpa2XhI8CeI,L-VTtPSKNP0,45
HStEhwpa5yg,aLuTTcitUKU,2
S0eCQExzz4I,Phqwc-KcN1k,7
yaarHzUIppQ,LmOxbhsQPtc,61
9RZxZfZsWfs,UzqEplADFgo,25
BNFHw1dhiqE,H1BYrSk46vg,6
XdNXFgEQEfI,ZvZ7AYX4bao,6
vSsRmNjzQCk,PEYl6sjkN0Y,1000
YO2YHCwGr3Y,MuT3_k_pKHE,5
8ddp8TB2RzI,mLPwem5JsQk,10
nwDJkpe71K0,xYt0-r8bVnk,1
5kiqWI9WyJQ,CyxjGf_qngc,11
mHJY4QDWqtM,Ik-AVj5ACls,40
cTP4yp8y_NA,SGnlZxGF9PQ,39
pzvF9_cBxEQ,49uVzFOLM0w,4
iLn6maxATvQ,Ebh71sF5OF8,1000
RooFwIAl02o,EZfa7JiXHe8,56
srcg9xLjtuE,Y5pMgbhyb18,5
gak14Rz5ZfE,0wMr-vaITjs,1000
gubOw70PXpA,Vx5IyrMwusg,41
U8ipNNI83mM,wvqyql_EKkQ,1000
CYrQ9iRiHNE,AW8zVjpRv1g,42
11bGnLKUyxw,3be4Rwhd04c,1000
ghY3nJ0LFWE,lh1-Jn51k3c,1000
uVLT79wjSh8,COlVcXzpd7o,37
xMtJqwV6Nww,H8cxjjj_pcM,10
b3s0dLNLXeM,j-VvrKuCf9U,4
zcOFQw4RkgA,weEvjyNFMsg,67
odaaqROexg8,zI9xmF0yluo,1000
igXdT6kQSp8,lj5dzi00Hew,2
ykkmGf2sgnA,MXr2wQh1PKU,28
uJetX0DJW4c,trwe7YGOl-c,4
modzkQmZSgw,5mshBQ8mbe8,12
d17qP5m9O-8,QuRYAULlV5g,53
FeThc-1U5m0,Q8uxT3-3rtc,26
jNByblUkREo,zcd0ydRBB6I,1000
tF8ZNmW0eSI,S7gjFPaU5iU,49
1iVFjy0uruU,AV0bt3SU-vk,27
HasLulv_cJw,L_T-1dvtq68,48
R4p0knISKjo,26cP63fsBt0,35
Daszf1vX4Bc,q5hhOffFqR4,6
trZWH-NvRRE,pkUTlMcrGQE,1000
30pID71PTCQ,9kWyacqWoe0,5
FFHOgKiorcA,ShEkFsKL2BI,59
L8F6yr4xUFs,DdymnkK8JzY,1000
bin0DWpkk8M,eT49lh6I-8E,40
V8DWO-Ox5aU,1eOx3DeqgZg,9
xja2QYgWtmE,RnZ1Y4bZMvs,1000
KBnzzZJ_0hg,-G6rFYJlyjc,58
Rlkqd9URn7U,g8GtPkmIeMk,3
jSWGokrMFbk,hNzHhBdaPr8,8
BeJ7tGRgiW4,WYIKJ0XpBE0,26
G4t5KdzR5nA,UnPmGvvMqMs,25
PwIluSb5524,zSDJelPWJmY,57
DOGsPXQ-t0w,fdlHhVSsuGE,1000
i6b7lpxKrwg,5paTbVfMy5I,3
vnZHjf369dU,xrli-SeYBk0,11
vlsDPN-Tjks,VqeFVJu7ToU,1000
LE5X9SIkEtw,q3RUP5lSL9M,33
4FeZcOS3_3E,L5iy4VBy-Sg,39
nEp8yHEgqWs,WYc_RuViPDU,58
Vn8RwSUWJVE,zCtkIayWtkA,2
-rjZr0LmJt0,jlFBO_VMlcA,6
dsVwNt5hTJk,o2P147M4UDc,39
IiJ4ZZkjSEg,KggGEooBlao,3
lJmTRWJwZGQ,IiUAs9zwZPM,36
K0bWE_bdhIc,AqOwGMbWhxc,53
WKBBFeXuxEk,E_KTexkGRhQ,4
v9o72XJcFQI,IkeC7HpsHxo,6
ba5YRZ850sM,cxpTPIGgZ5A,55
hC7CYZWyhWA,SgYFhjVmcJ4,14
QGpfu4_NFFY,qm-sem79FFM,57
rrekA-H4-XQ,DHnGpNrJsZE,53
G9-mYs6YOxg,69DJqVjzDxE,4
tOoK0RITPao,9zT6D-hSZKc,35
VIxUla9T85o,T30lp--aeqQ,5
SJoNCoFDvOc,Hp-vrMSdalA,50
jNyLx3gHYNA,6u8rjxxpO44,59
0kK3U0HQh1Q,6q5oYlCwNms,6
2MCpOJiTDeI,3JIQViX3rZg,2
gsMvSzBBZzk,rbCOq2OGmcs,21
2boyVla1MFY,jVsWuHtk5D4,1000
prvQXq21ahk,P6snzg7iVBY,36
ShfgL-5Mqc0,fDoeBQyCAe8,22
9GdeNm1v7gk,VMFtaq-0MQ4,1000
pdt1DxGrQv4,xaBT5P0LpCw,41
hs5VYrFIoi0,Uc8-JF4iqoc,1000
C8O-NaZh6yU,Er3DcJXF4bs,1000
C1fU7l7rQ4U,ItsVV5PCbJU,7
LKxeWIcXpig,VnCzv_hrMik,8
SV00KULvbTs,YDDlmJxtDYI,48
bbnqVpUUrc4,RIP2AyxYvMQ,27
CsJ6DamTXc4,LtjHOAXyLZE,7
T4Igb5Yors4,cnnra4LAab8,48
UK5iatoo03U,IHy8eTkl9Og,4
pSL7BN2Jv0I,Bo8Z12npvFc,47
UhIAN2q2sSg,5-uT93fl8aE,5
M8tMpYcAxdo,cWuSRHzd5io,48
St9i5s0ejR8,PnUXTC0k6oY,38
5bV0KUEOlFI,JtXQm25CxvA,1000
VsBHeUr2-XY,a18CEWf-HQA,1000
_qGAqA-muYU,VAarUNTz98Q,49
SCX54oh0p2o,qas4SdJcePU,18
gTWMD1JqY1Q,LWCWlgCZDV8,3
LZ60mp_58-A,bZ5a2JH_BVE,41
Ju9KhjJlJOU,dcOKhrcLCo0,38
IKN3Df-b2Uw,lbwLfljLTK0,27
ZDndNDJS60k,A65TLSFISYU,1000
mzr7tT7odm4,IQ4ZkxrC8LE,2
frUPnZMxr08,Z11B9L2awVA,1000
a_L714UQSOQ,Eoh0yBhOp4s,32
uU46FZn_kIQ,57tUG3f_oyk,1000
GRqj7v8PF7Q,-FNbK0-_n5k,38
5vluYwhGM3E,AsQMaDVooGQ,14
xyGocSuhs3g,7Ey8ZXkRJ6Q,43
nWuP_IAiMUE,UdFT7wfUaH4,1000
i-nbkYg-q0A,xNNhTX01F84,1000
FiKsO-uaTtQ,Ll2j5YPBv8Q,44
z2k2lGIjJII,Min112O1pRA,16
k93suUhwfXw,8qoz_jyo8cQ,17
TjvdCd4AuLk,aPr1oAf4PdE,32
Zsb0XYFbc7k,PWNMVMRYBsg,45
dVWhav3Jj0M,Vdinl9AqfVM,47
dKGDTK2pKEo,nUiTTBfeuSU,4
kIe77LZv4Io,_5KyYomsXjY,54
2wugvhdjN9E,mTwwZiF0UY0,9
_ypwzSl0SUM,9wVHsvLpc6w,1000
RrQINtW0Lio,MW_-9Gsj-kg,31
M6jFVLWAzOk,jGDXvNivgF0,9
UAO1DnSipIU,MJ9XioBQ8a0,9
RmXK_qLPZls,s4V_K4eEmbQ,44
s3DnrULcRNw,TQmE6JOJsJg,1000
wlK5kIHO4Ik,WPz_2dwqG6A,31
wecIIKISyuQ,ubxEQt8PK_g,14
3wXzJZFJbKs,XncwlISsHYg,55
D8iLHh63W5U,1LAF1JlqCGI,44
SKKR2mLD88s,GtkpA6idFf8,6
2gLbQLKDFK0,Q0Jys5cs-co,9
M01Nlke-frY,OsFCLSEozdc,50
CgEz7IgIMD4,27POI9uH94M,1000
R5AK7TOeSoI,KzVlUeqq2v8,56
shtPb6D-NFs,fpLtbk9-6K4,77
i8HzjCyGs0I,F4ESRhzZir8,42
ULez1d5g938,DK2uNFLbjyA,49
rEjDT7pvg30,Rrt3Rb7-kBU,1000
Gp8GzKwBdsg,OiIb3jtOjIw,55
iEMXaTktUfA,ZFW7tkSjvwk,21
1t3bmzd8jAI,xnkHL98UcD0,5
asDXpfFMKNA,r79aUHcmG1A,25
sogKUx_q7ig,3ZuOzUPKQzc,1000
92GRbqKVVCo,Au3Kqtjd85o,13
5kBX00TR-aA,1H74EmlMoBY,47
OgPrn_Hxf7w,eyZpudMS8A8,1000
ZmFiANcy9YM,aOEws2nn5SA,60
6wcIOKDskGs,59Vh26XmZDM,5
F5U2dedHaOg,Kby0WcXcSYA,1000
tWaPtrkD9l4,XvPp5fZcqys,46
dkcrVSLcXdo,MPZhzApkAlU,4
PmWPaF1alNA,Xigm1mlWyj4,12
gmOcjZXygNM,7UIPnZeto4A,26
lbGobZDff58,fl2nwqC8XcU,14
nI4NJwq3GLk,vr3x_RRJdd4,7
bX1lJWG5D1s,b55e5VV3ryU,39
jh6EpXnMb18,9T0g4xpd_TE,15
-0qjhCrdeV8,GiNhPhJ5b64,51
dtoo1c6uqB4,Sf57nekd8i0,31
8VBjSposay8,GyU5mQGnWoo,32
P6DpJC5K2EU,0XBnRU4XwvQ,4
nc2LGxA93FY,IPmGLTIS4yA,56
e4pfJFblAvY,YRXEP84ed50,1000
ZbTKTfy-eZM,iXB_qVSMr-o,13
ueMyww1I-Jg,TIdoXV7UPu4,1000
lJgKz7GlucI,XNzLD0X0PPs,21
xNyPc9SUJ7s,BJaNtVP7BZs,54
TN3oeQEDPGo,JduoCON7AfM,25
pBgSFefTT-E,tWaPtrkD9l4,2
H8r0TFhKMOs,rOGbqveo7ko,19
o55KpzMVxmU,95mGK4eppmo,30
FGebkHYxrmg,kdYasnFK07o,25
I-Orp_KfmrY,Shj-D0MzAkI,39
5Dlza9YlqFk,JJojHAiQ9A0,32
o7wt9NKvcUs,PuYiEbsDivw,29
dEurKFr6Bjc,b67TL0kLVbc,1
osveEVbAiP4,3VugObkAcC0,34
V9uwaA9tu8A,tTNcmx4dT8Y,29
XAZQDESG6TY,aEKqU1fkYCI,18
PYlCPdwBOlA,64UfxHVG7Ck,1000
2C3oqIRJNcI,DPkdrXPhZK0,23
vDUM1L777LE,bMSXqZStqDY,1000
WxD7Gxfurco,z9e9VXxBDd4,58
POX62_McjuE,4kYbcox79Rk,1000
mJIep0Y3prQ,yfjHNk5Wtak,1000
OYdN91uLSPU,8pY1kyIi8i4,1000
B20k_1hLfyI,2bCUFLMVuUA,1000
fk0uMhGiEvg,C4_uBMtvfhg,7
ZyCQOuckbqg,7012EnmR9jU,4
5DCacIEbAlM,trNwsSYtWCM,52
ecQg5n6ZyWI,EMXFEhbSzbY,4
svvHAU6Bb-c,7i2n2XF6VK8,1000
CQTvzqG7oJ8,JbGs-3SzXoU,4
wZ7YedEopp4,78JTAYHOR4k,21
BgK75ddMETo,EZYR6nP3Mpc,35
ANdMYNldd3c,lMx47CoSMmY,1000
_EdngnDdjCo,_OS_Xk-9ClI,6
IoQm5kSiAE0,0k7msHT8P_g,1000
LYw097J-oFI,6xBpes2EOKY,40
xA6HtKw4HjA,umIS84Ih-HQ,3
Bl3T-Nsb2AQ,w4lMCVUbAyA,5
LoE8k0ZYwOM,d1tDMVHk2vo,8
gtN_5Az9je4,wzWQTElFBfs,31
mVcAVRoVdvo,Y0aXM2Rzjnk,10
7hs-IM3zDLo,riQ_l5teJH4,39
KQa2pseYpGY,NGMPsh5hF6E,39
KVRczEPspDY,c3zKg2CQWeo,41
zHOtuAD8w2o,k_2Khg5nNjQ,1000
kK2j0KEPQng,V-VAMZZFN_w,71
xAyllrjX1-g,GJfFYCeRX8E,7
OeLnQQJmKTw,jvkiIRCsXCo,5
CXpkm0QGDVg,o3UZffAREJ4,1000
tf3DpmPbZ64,vjdVc4Y54Vc,7
2o2fx7A_tqs,xV2tFdYBFgY,3
Ivvsbz7f_w4,PEA23FqgS6w,34
zdA2pB8jWyg,WVhViMYOGBM,40
r-cL_504mtM,HlR_kgI0BC8,38
O0TREPpWzuI,4Lx_E2yzcwg,32
9Gn9htpV5Ks,0VPeG33R0o8,16
q8mCv3gqj_g,JSLh_iGKiwo,37
jUsdlQk6eyY,4dCjzDETOdY,67
zCUXijWqWHw,cp9G3tkTOGk,29
H1Jr23dDQMk,jNjw1y8yC1g,18
EZfyjEODdiQ,Qh-aQVcu1zs,1000
ZtIkb2xeH10,K8QrR55iSEM,3
mdT7vYUaTYE,5zxTjqcOsfk,1000
PqSh0_40KAQ,l5UQC5__emg,24
SsI0BAsfeMw,OYdN91uLSPU,4
vRhVB-fY8KU,RrSlmZxWelQ,20
2aRK0_YZDt4,8jTnQ2JeNLk,12
8CjUgHdZ9U8,2R3HhYSz2Dk,64
wuB4eYa1wSo,eeAw0mO6Bps,7
N2nYFp1g0aA,8RprWiOtNP0,1000
7Ee8Sflbm34,9Y4z2qSM6c8,22
r2JmqBOPDYc,fGia5qG7fmA,7
nwonw0SmhVc,w7xd2wzgbJY,1000
iNIZIGZMI5Y,kC9fcC9DtGg,32
NnAv7_rUTR4,Jt1gzkmwCsA,1000
bKtgKckjhUw,0Xxrq0CVl4s,35
dnbBya4tYog,NRmW-o8USU8,50
rX3XxKdf6yE,jYVmgfP6DAE,1000
HDZRvS4Z-U8,8ILlvsFZKVE,1000
kwioRVEZJc0,d9vUCj72ICw,1000
RLDIdtLAES8,ehZ--MMKMdU,45
CMu0wBNkNi0,EacJWn4GAtM,1000
lADwEw8He1k,sVWk9Yi45iM,38
Ivs_d8LlO6s,WIGDcShVxrM,1000
ohVn8XWvELE,pRzlqy4Ta78,25
cc9zI0-puPw,EbMb_QZxbEA,44
fiPv0SuYRps,sKUxWEzmqZo,3
OIkpamWoEfs,ssl-RUHLvYk,65
YF061bb9dBY,lEPqa55WjL8,46
zvIKxNAgOUg,kQDmCwUYwHA,3
cGVFqFWVvQo,onOtl8fDUr8,1000
b5krxJUGKcQ,PWmKkmYCm4w,1000
2lb2V5k2GD0,t5Ty6ig8biU,19
0WpFYNaNr54,7VxEL-yh-1k,47
VLP3TDMjJiE,mX37vGmKhws,31
QkDRNP1xBsM,jykOJ33a4hY,39
CA2JGJHWZ5w,aCUEXPAaJec,2
j-VvrKuCf9U,JE0kIcOVHaI,1000
j63WhJMCoo0,ZGWGxftYMbI,3
GmnONAwB1vA,0AYeOJEqzgw,6
Qf8Wq-Ry5Xg,UdOnNZH2YJI,41
tUsQqUtJ2uo,V5_KXFedM8Q,1000
lHQmQ7vLJhc,2dbCeagk4NI,37
Jj0tNV90jXA,cznkC_bkyVU,41
ACaXrne33Sc,WFn1kB4IzHE,42
v8kHiW0HnTM,jJTD75Ax-AA,11
6K5EWyr5d4Q,lwpAhu6B3GU,1000
o2DWYcS2OuY,ihq39Goq_Bw,19
7ump9ir4w-I,JxApHzb1gjU,35
2YP4pcoVezw,MbuBznHCJtg,47
-Nqjt6HruIQ,jH43puMvuP8,49
Ld76MYPFtRI,c4L19CRma_k,44
NTrDyhKUwbE,eGgKBHJCwUY,37
ld5JjdQDwWo,QzrgGuESraI,48
V8KLIrRf1KA,OuQwQSDf__g,27
nwNRmSIGxns,enx80RqF_gk,1000
NQV__85Wpd0,Zks6XTkzhRM,1000
Z-PvzdhW2tk,ChFJOYO622Y,33
qBuSyidDndQ,sixZw_oHBCw,19
fGlRsjHTkbs,dS1jNTIqqF0,26
f3ZK3vhSJng,hq8jlA7meHQ,21
e1cqmUlibKI,nKfK9nXeCaM,1000
KOU8_6p2OIw,crr3Ytu0QJE,1000
A-5DnE10RsM,D6MhTiJue8Q,8
7_mweOTbTPo,Kg_pouMibiI,54
J_zNgsEAcfA,fcr4-ZTH5lU,3
0JvO2stsllo,3LxpEiHbRUU,26
Q6L_953pGdQ,3shHrU5shHA,51
TVove5O9WEU,3p713bNaO4A,8
vA6JNUjtH24,e4TwGY4IUzg,25
0siZt41v7kA,VAkOfoI3SpE,4
UYDlBsP-Y4I,PRyEJHZNUCs,47
mVtYwm7KsO8,7JTI7nyGV34,51
_dRiXZ6gjzE,WxG45cSpcVs,7
PAKnMLPus1M,GlCresvOdrI,62
PQAmwX_ZhYM,0TB3wT1SRSE,16
nWh_-SWqybE,ENdLsXkdLMQ,29
k5CYP0TnG1k,KazTeza5eyA,1000
7bcvsTkQzso,2XLIlARgTz4,1000
uJGT0WyKL60,AP2dQd8fxh0,39
0KkBRQwQo5k,dSVGy8fhMYs,35
2O0k7e5ApFU,siq3V4sb5Sg,1000
owl2l8dszoM,o9GrZvL2Ikc,21
mCSasVTdF5E,BEUKwDsMpG0,5
eO0E5xtfTOs,Ws30ZX8GdTc,1000
rDpTVjwPqwQ,cofvdqO1yvg,55
pZ3FWW-hyjY,RXGuWQEmJAY,39
Jnn6p7NqSfU,QWs2CJcWBNM,40
MYo8ay56DFU,bHqvl_IZfns,5
FAHEWXc9Zh4,WfG2URjj5F0,41
NVtFSueu8Mg,XUWjT4W8l-U,42
_UH7VsywKvw,VMsENQ7a13g,1000
2dWG25YI47Y,5MNp87WqYHM,1000
6pjZgz8hXh4,vu8NKNXZ2xg,49
YZu1HZAAV-8,PHv5d735A3E,7
BsOu1yA5c-Q,7LjMK-PsEXQ,2
7uZf0GtgZK0,9iWu6n5UW_s,1000
yZFV4-BZYBc,KoWphrdocdE,43
GipFyAsYK1M,u3O8hALrV_8,31
PGV5f2aQh8Y,gnMb3iDqtPQ,25
Ji5CPUtLOPw,RJ3qchR_aWQ,39
GGc0L2vvUgQ,O8MqQXs9HTM,19
cj9sHkL9pRE,AfeVjIcFqQ4,36
oDHgpWbNhcw,hqjBSm7obeU,11
Do5OmHsDBd4,OpLBSk_jRmQ,17
VIUyKxBpylA,fiSl4TvWfCU,1000
skemoDyptUA,2vAOqcij5-w,8
j6es7ek-EqI,Sfa5GYYM2sw,9
lNS5jcEzPmE,pHzhtY88DVg,35
cwNhtZz3kM4,l1Yejb8B4-4,39
H69eCYcDcuQ,lJqy9vM2TWk,25
-RYaS9b50F8,ItJGCtFXnBo,16
g2SawLLLdhw,2nd3IUylrr0,1000
zydwnpQLFHw,lxgJ1iBv3DU,1000
W_ExP-cyRGE,-JD1UrNQ1Kw,45
aA20dKc3kK8,CPP1Ri43IzE,27
SgdtODfDO3A,lRUsXxOQ5U4,53
90Tueundpyk,FGn0uEandxc,34
WL9BshG6jVc,gW_V-5C_etQ,22
gyTO9XfnQ80,TIBAB-MvR1o,9
XOXq6TvisfQ,EbRlBBK0mtE,59
UtIi0vQWIpw,vL474P9wYlc,54
WoageDsp4g8,SEMTiH5le4E,2
sOxs9DpO5DY,3nNy6isqZGE,36
ySMdAF-GACw,PqM_yzzxaDQ,39
ekV5NseEdy8,4R7WUn3JwA0,42
ygakq6lAogg,nKFLE3DX4OQ,7
55ee2lsaQaM,qsY_w8sgbxU,22
JugVtP9CZVU,GzCxA2JIXR0,8
uCDG2JTOCog,2xxZ5vpiAx4,1000
SgH5jTUQcSQ,kgCIsVGTDww,1000
oagTR7Ks878,R7jn4fWrq_k,38
E90Z5zv1pss,1l17mCtEzBA,48
zwduvwsTJyk,RfwJcWDZFMI,2
SeCf2cx_IbM,T6ToJv56Qhk,1000
PWCtbAOYon0,td5DLGRcjg4,1000
oYDQGoUk1SI,bL2GW-I4aI4,13
M1Jh585u-iI,PvCifZcbb-s,25
qlC39j5JImU,0aAMZoFDX00,4
AaeO-QHq_PM,3A-DbGEiyQc,6
hMpJk9R-Kcc,963cwe6bcQk,11
AVU_UmRVfFY,1Y9Bm71V_l8,39
si50IJjPGCE,zfwHIV7pTXA,51
rjnpUNnWNn4,60IhMaL5qr4,59
tfHu6hle4Bw,yS0p5sjklPU,33
clRSNS8Qy4o,34Egi_CcAtM,1000
0C6d3hw5j2Q,Lw5eUv4XNIc,36
ZHFZDV0VBn8,EdADUMDVSd0,1000
iHrshVDcHzA,1kV4AcJYDpA,1000
QBFUK7-dckw,TQmE6JOJsJg,1000
1JWPqz15ZxM,FrVSHmeIW24,5
